timestamp,front-end,carts,orders
2022-06-05-11-43-36,45365.0314285687,36155.37142857058,5556.945238095238
2022-06-05-11-44-36,45293.74124975271,24249.246770010122,4171.039868358698
2022-06-05-11-45-36,59985.30666666939,40646.249509098256,6294.292857142857
2022-06-05-11-46-36,112308.81994380413,191666.41630651333,15608.717894162759
2022-06-05-11-47-36,144907.58946445072,305876.5966783741,20210.854071557726
2022-06-05-11-48-36,146039.62619047618,320460.53706443467,16516.729226643278
2022-06-05-11-49-36,147730.5391531276,333600.3081072745,18021.717978709796
2022-06-05-11-50-36,146069.85666666485,334955.45714285714,20421.321428571428
2022-06-05-11-51-36,160854.37571428844,346805.00952380954,26876.597619047618
2022-06-05-11-52-36,142517.88346888815,308964.0786758506,23039.94917399936
2022-06-05-11-53-36,145399.85014129445,275829.41700748523,19557.107679916284
2022-06-05-11-54-36,151603.80285714014,316526.2428571429,14429.854761904759
2022-06-05-11-55-36,130874.57096055587,357080.6637749691,7600.085236471688
2022-06-05-11-56-36,97136.3927697313,346874.30202216987,6347.206544047315
2022-06-05-11-57-36,93922.53619047347,241061.29196795617,12083.48333333333
2022-06-05-11-58-36,62469.63999999818,144581.8952380952,10780.607142857143
2022-06-05-11-59-36,50261.31857142676,102948.0,12271.616666666665
2022-06-05-12-00-36,51169.509047621774,71456.63142857098,9554.20761904762
2022-06-05-12-01-36,45634.44115660264,51385.17112586873,7761.389007890255
2022-06-05-12-02-36,48048.3172229912,80288.63375938855,11937.582866937826
2022-06-05-12-03-36,46689.59285714286,89460.31,13036.140476190474
2022-06-05-12-04-36,49762.17476190385,95861.57626609097,13628.201428571427
2022-06-05-12-05-36,49276.555714284805,93271.10000000025,13919.948095238095
2022-06-05-12-06-36,49251.143809522895,92731.02095238112,13560.75857142857
2022-06-05-12-07-36,47517.04285714285,86669.63047619059,11922.911904761904
2022-06-05-12-08-36,48470.30712823108,82450.90912845379,11449.108092698534
2022-06-05-12-09-36,45413.41095238186,35040.7720094079,5830.64701359391
2022-06-05-12-10-36,44713.90476190476,8592.84570541467,2046.3777074396507
2022-06-05-12-11-36,44811.599523807694,43146.63305272692,6218.281450551966
2022-06-05-12-12-36,47111.26333333424,66324.26761904871,8623.420952380951
2022-06-05-12-13-36,46597.68666666576,64478.032380953,8553.897142857144
2022-06-05-12-14-36,48291.09904761995,93937.31952380952,13593.36904761905
2022-06-05-12-15-36,49728.02476190385,94465.1480952381,13505.197619047618
2022-06-05-12-16-36,47730.81740120499,92441.51791896886,13176.15462191127
2022-06-05-12-17-36,48908.04629964323,95542.07942146591,13008.758585904921
2022-06-05-12-18-36,49839.479523808615,94255.80746039053,12856.540476190477
2022-06-05-12-19-36,47822.434761901124,83050.67380952353,11756.84476190476
2022-06-05-12-20-36,47782.85761904943,90271.8380952389,12442.220476190474
